Season,Team,Owner,Player Name,Position,NFL Team,,,,,,,,,
2012,The Thirteenth District,James,Jeremy Maclin,WR,PHI,,,,,,,,,
2012,Former ShepaugTeacher,Spear,BenJarvus Green-Ellis,RB,CIN,,,,,,,,,
2012,Team No College Yet,Dylan,Lance Moore,WR,NO,,,,,,,,,
2012,Team Charles,Charles,Torrey Smith,WR,BAL,,,,,,,,,
2012,Best Served Hot,Ed,Peyton Hillis,RB,KC,,,,,,,,,
2012,Wearing Sperrys Popping Cherrys,Carson,GIants D/ST,DEF,NYG,,,,,,,,,
2012,Team McFarland,Ken,Dustin Keller,TE,NYJ,,,,,,,,,
2012,Eat The Sandwich,Spencer,Andrew Luck,QB,IND,,,,,,,,,
2012,Salsa Dancing,Tom,Packers D/ST,DEF,GB,,,,,,,,,
2012,Gotham City Rogues,Dan,Nate Washington,WR,TEN,,,,,,,,,
2012,The Elite Eli's,Gavin,Patriots D/ST,DEF,NE,,,,,,,,,
2012,Rapid City Monuments,TSizz,Brent Celek,TE,PHI,,,,,,,,,
2012,The Thirteenth District,James,Greg Olsen,TE,CAR,,,,,,,,,
2012,Former ShepaugTeacher,Spear,Matt Ryan,QB,ATL,,,,,,,,,
2012,Team No College Yet,Dylan,Toby Gerhart,RB,MIN,,,,,,,,,
2012,Team Charles,Charles,Ben Roethlisberger,QB,PIT,,,,,,,,,
2012,Best Served Hot,Ed,Pierre Thomas,RB,NO,,,,,,,,,
2012,Wearing Sperrys Popping Cherrys,Carson,Andre Roberts,WR,ARI,,,,,,,,,
2012,Team McFarland,Ken,Greg Little,WR,CLE,,,,,,,,,
2012,Eat The Sandwich,Spencer,Kendall Wright,WR,TEN,,,,,,,,,
2012,Salsa Dancing,Tom,Brandon Pettigrew,TE,DET,,,,,,,,,
2012,Gotham City Rogues,Dan,Jared Cook,TE,TEN,,,,,,,,,
2012,The Elite Eli's,Gavin,Joique Bell,RB,DET,,,,,,,,,
2012,Rapid City Monuments,TSizz,Kendall Hunter,RB,SF,,,,,,,,,
2012,The Thirteenth District,James,Danario Alexander,WR,LAC,,,,,,,,,
2012,Former ShepaugTeacher,Spear,Golden Tate,WR,SEA,,,,,,,,,
2012,Team No College Yet,Dylan,Felix Jones,RB,DAL,,,,,,,,,
2012,Team Charles,Charles,Issac Redman,RB,PIT,,,,,,,,,
2012,Best Served Hot,Ed,Jonathan Dwyer,RB,PIT,,,,,,,,,
2012,Wearing Sperrys Popping Cherrys,Carson,Kevin Walter,RB,HOU,,,,,,,,,
2012,Team McFarland,Ken,Rob Bironas,K,TEN,,,,,,,,,
2012,Eat The Sandwich,Spencer,Chris Givens,WR,LAR,,,,,,,,,
2012,Salsa Dancing,Tom,Montell Owens,RB,JAX,,,,,,,,,
2012,Gotham City Rogues,Dan,Ronnie Brown,RB,LAC,,,,,,,,,
2012,The Elite Eli's,Gavin,David Akers,K,SF,,,,,,,,,
2012,Rapid City Monuments,TSizz,LaRod Stephens-Howling,RB,ARI,,,,,,,,,
2012,The Thirteenth District,James,Knowshon Monerno,RB,DEN,,,,,,,,,
2012,Former ShepaugTeacher,Spear,Brandon Myers,TE,LV,,,,,,,,,
2012,Team No College Yet,Dylan,Sam Bradford,QB,LAR,,,,,,,,,
2012,Team Charles,Charles,Shane Vereen,RB,NE,,,,,,,,,
2012,Best Served Hot,Ed,James Jones,WR,GB,,,,,,,,,
2012,Wearing Sperrys Popping Cherrys,Carson,Josh Freeman,QB,TB,,,,,,,,,
