year,week,team,team_owner,team_score,opponent,opponent_owner,opponent_score,result,is_playoff,bracket_type,playoff_round,team_seed,opponent_seed
2013,7,Salsa Dancing,Tom,121.00,Eat The Sandwich,Spencer,112.50,WIN,FALSE,,,,
2013,7,Former ShepaugTeacher,Spear,148.10,Caucasion Sasquatch,Ken,121.20,WIN,FALSE,,,,
2013,7,Wearing Sperrys Popping Cherrys,Carson,112.40,The Thirteenth District,James,104.80,WIN,FALSE,,,,
2013,7,The Elite Eli's,Gavin,93.70,Best Served Hot,Ed,100.10,LOSS,FALSE,,,,
2013,7,Team Charles,Charles,129.80,Rapid City Monuments,Tsizz,156.60,LOSS,FALSE,,,,
2013,7,Team No College Yet,Dylan,77.00,Gotham City Rogues,Dan,115.70,LOSS,FALSE,,,,
2013,8,Caucasion Sasquatch,Ken,75.50,Salsa Dancing,Tom,134.80,LOSS,FALSE,,,,
2013,8,The Thirteenth District,James,111.40,Former ShepaugTeacher,Spear,150.00,LOSS,FALSE,,,,
2013,8,Best Served Hot,Ed,80.90,Wearing Sperrys Popping Cherrys,Carson,167.00,LOSS,FALSE,,,,
2013,8,Rapid City Monuments,Tsizz,122.90,The Elite Eli's,Gavin,96.90,WIN,FALSE,,,,
2013,8,Gotham City Rogues,Dan,109.50,Team Charles,Charles,99.00,WIN,FALSE,,,,
2013,8,Eat The Sandwich,Spencer,110.90,Team No College Yet,Dylan,128.40,LOSS,FALSE,,,,
2013,9,Salsa Dancing,Tom,117.50,The Thirteenth District,James,148.10,LOSS,FALSE,,,,
2013,9,Former ShepaugTeacher,Spear,96.90,Best Served Hot,Ed,80.10,WIN,FALSE,,,,
2013,9,Wearing Sperrys Popping Cherrys,Carson,91.60,Rapid City Monuments,Tsizz,113.60,LOSS,FALSE,,,,
2013,9,The Elite Eli's,Gavin,116.70,Gotham City Rogues,Dan,203.60,LOSS,FALSE,,,,
2013,9,Team Charles,Charles,89.30,Eat The Sandwich,Spencer,146.70,LOSS,FALSE,,,,
2013,9,Team No College Yet,Dylan,175.20,Caucasion Sasquatch,Ken,69.70,WIN,FALSE,,,,
2013,10,Best Served Hot,Ed,106.70,Salsa Dancing,Tom,128.30,LOSS,FALSE,,,,
2013,10,Rapid City Monuments,Tsizz,115.90,Former ShepaugTeacher,Spear,104.50,WIN,FALSE,,,,
2013,10,Gotham City Rogues,Dan,127.50,Wearing Sperrys Popping Cherrys,Carson,109.00,WIN,FALSE,,,,
2013,10,Eat The Sandwich,Spencer,92.40,The Elite Eli's,Gavin,121.90,LOSS,FALSE,,,,
2013,10,Caucasion Sasquatch,Ken,142.20,Team Charles,Charles,131.00,WIN,FALSE,,,,
2013,10,The Thirteenth District,James,126.00,Team No College Yet,Dylan,91.00,WIN,FALSE,,,,
2013,11,Salsa Dancing,Tom,128.80,Rapid City Monuments,Tsizz,140.20,LOSS,FALSE,,,,
2013,11,Former ShepaugTeacher,Spear,124.60,Gotham City Rogues,Dan,93.00,WIN,FALSE,,,,
2013,11,Wearing Sperrys Popping Cherrys,Carson,100.90,Eat The Sandwich,Spencer,139.60,LOSS,FALSE,,,,
2013,11,The Elite Eli's,Gavin,75.40,Caucasion Sasquatch,Ken,118.60,LOSS,FALSE,,,,
2013,11,Team Charles,Charles,124.20,The Thirteenth District,James,151.80,LOSS,FALSE,,,,
