year,team,division,division_standing,owner,wins,losses,ties,points_for,points_against,final_rank,made_playoffs,total_moves,champion,runner_up
2018,Seabass and the Fellas,West,5,Geoff,3,9,1,1542.2,1793.9,8,FALSE,7,FALSE,FALSE
2018,Eat The Sandwich,East,6,Spencer,3,10,0,1469.3,1657.8,7,FALSE,16,FALSE,FALSE
2018,Team Foote Longs,West,6,Wes,3,10,0,1312.9,1712.3,10,FALSE,21,FALSE,FALSE
2019,Eat The Sandwich,East,1,Spencer,9,4,0,1821.6,1584.8,1,TRUE,29,TRUE,FALSE
2019,Subverted Expectations,East,2,TSizz,9,4,0,1677,1552.9,5,TRUE,17,FALSE,FALSE
2019,John Loves Dogs,East,3,James,8,5,0,1813,1614.3,3,TRUE,39,FALSE,FALSE
2019,Clutch Gene,West,1,Spear,8,5,0,1655.2,1657,2,TRUE,45,FALSE,TRUE
2019,SCOTTS TOTS,East,4,Ken,8,5,0,1419.6,1489.9,6,TRUE,40,FALSE,FALSE
2019,Victim Complexes,West,2,Wes,7,6,0,1747,1667.2,4,TRUE,16,FALSE,FALSE
2019,Trust The Process,West,3,Tom,7,6,0,1695.1,1608.9,11,FALSE,21,FALSE,FALSE
2019,The Comeback of Johnny Man-Zeer,West,4,Gavin,5,8,0,1720.5,1751.9,8,FALSE,12,FALSE,FALSE
2019,Gotham City Rogues,East,5,Dan,5,8,0,1650.8,1697.9,9,FALSE,17,FALSE,FALSE
2019,Seabass and the Fellas,West,5,Geoff,5,8,0,1549.9,1833.4,12,FALSE,6,FALSE,FALSE
2019,LSC Stud Muffins,West,6,Dylan,4,9,0,1514.6,1675,10,FALSE,10,FALSE,FALSE
2019,Reverend Payne,East,6,Rob,3,10,0,1711.9,1843,7,FALSE,11,FALSE,FALSE
2020,Seabass and the Fellas,West,1,Geoff,9,4,0,2007.3,1732.6,2,TRUE,14,FALSE,TRUE
2020,1-800-Miwacle,East,1,Rob,9,4,0,1740.4,1573.3,1,TRUE,25,TRUE,FALSE
2020,John Loves Dogs,East,2,James,8,5,0,1712.1,1666,4,TRUE,68,FALSE,FALSE
2020,"Make POs, Lose In QFs, Repeat",East,3,TSizz,7,6,0,1743.4,1683.8,6,TRUE,28,FALSE,FALSE
2020,Gotham City Rogues,East,4,Dan,7,6,0,1738.7,1843,3,TRUE,53,FALSE,FALSE
2020,Victim Complexes,West,2,Wes,7,6,0,1669.5,1766.3,5,TRUE,22,FALSE,FALSE
2020,The Comeback of Johnny Man-Zeer,West,3,Gavin,7,6,0,1611.6,1570.4,12,FALSE,16,FALSE,FALSE
2020,Wreck Everyone and Lose,West,4,Tom,6,7,0,1743.9,1664,8,FALSE,19,FALSE,FALSE
2020,"Set, Hut!",West,5,Connor,6,7,0,1691.4,1637.3,10,FALSE,9,FALSE,FALSE
2020,He's Still Alive,East,5,Ken,6,7,0,1556.8,1662.5,9,FALSE,45,FALSE,FALSE
2020,FightOwens Fight!,West,6,Spear,3,10,0,1585.8,1747.2,7,FALSE,36,FALSE,FALSE
2020,Eat The Sandwich,East,6,Spencer,3,10,0,1566.1,1820.6,11,FALSE,38,FALSE,FALSE
2021,John Loves Dogs,SMART,1,James,13,1,0,2116.6,1610.8,1,TRUE,44,TRUE,FALSE
2021,Ride of the Symphirrim,SLOB,1,TSizz,11,3,0,1905.8,1725.6,4,TRUE,28,FALSE,FALSE
2021,The Best In The World,SMART,2,Tom,8,6,0,1864.3,1679.9,6,TRUE,21,FALSE,FALSE
2021,Eat The Sandwich,SMART,3,Spencer,7,7,0,1876.1,2011.4,3,TRUE,25,FALSE,FALSE
2021,Gotham City Rogues,SALT,1,Dan,7,7,0,1858.6,1845.5,5,TRUE,43,FALSE,FALSE
2021,Seabass and the Fellas,SLOB,2,Geoff,7,7,0,1652.6,1723.2,2,TRUE,9,FALSE,TRUE
2021,FightOwens Fight!,SALT,2,Spear,6,8,0,1756,1756.9,7,FALSE,28,FALSE,FALSE
2021,The Comeback of Johnny Man-Zeer,SALT,3,Gavin,6,8,0,1708.1,1653.6,9,FALSE,16,FALSE,FALSE
2021,Def Done After This Season,SLOB,3,Ken,6,8,0,1705.5,1908,8,FALSE,24,FALSE,FALSE
2021,Victim Complexes,SALT,4,Wes,5,9,0,1625.2,1823.5,10,FALSE,16,FALSE,FALSE
2021,. Cush .,SMART,4,Connor,4,10,0,1685.7,1843.3,11,FALSE,14,FALSE,FALSE
2021,1-800-Miwacle,SLOB,4,Rob,4,10,0,1642.7,1815.5,12,FALSE,14,FALSE,FALSE
